1:
 num     #instances         #bytes  class name (module)
 267:           434          10416  jdk.internal.constant.MethodTypeDescImpl (java.base@25.0.4)
 268:           434          10112  [Ljava.lang.reflect.Constructor; (java.base@25.0.4)
 269:           315          10080  java.lang.module.ModuleDescriptor$Requires (java.base@25.0.4)
 270:           419          10056  java.util.Collections$UnmodifiableRandomAccessList (java.base@25.0.4)
 271:             4           9984  [Ljava.util.Locale; (java.base@25.0.4)
 272:           407           9768  jdk.jfr.internal.EventControl$NamedControl (jdk.jfr@25.0.4)
 273:           400           9600  java.util.LinkedList$Node (java.base@25.0.4)
 274:            92           9568  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
 275:           199           9552  java.util.logging.LogManager$LoggerWeakRef (java.logging@25.0.4)
 276:           357           9440  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 277:           380           9120  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25.0.4)
 278:           342           9000  [Lorg.springframework.core.annotation.MergedAnnotation;
 279:           560           8960  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 280:           186           8928  java.lang.invoke.LambdaFormEditor$Transform (java.base@25.0.4)
 281:           185           8880  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@25.0.4)
 282:           277           8864  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@25.0.4)
 283:           363           8712  java.util.LinkedHashMap$LinkedEntrySet (java.base@25.0.4)
 284:           213           8520  java.lang.classfile.Opcode (java.base@25.0.4)
 285:           132           8448  java.lang.module.ModuleDescriptor (java.base@25.0.4)
 286:           341           8184  org.springframework.beans.MutablePropertyValues
 287:           341           8184  org.springframework.core.annotation.MergedAnnotationsCollection
 288:           204           8160  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@25.0.4)
 289:           314           7640  [Ljava.lang.annotation.Annotation; (java.base@25.0.4)
 290:           292           7616  [Ljava.lang.constant.ClassDesc; (java.base@25.0.4)
 291:           317           7608  java.util.ImmutableCollections$SetN (java.base@25.0.4)
 292:           190           7600  java.util.WeakHashMap$Entry (java.base@25.0.4)
 293:           315           7560  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@25.0.4)
 294:           232           7424  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 295:           309           7416  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 296:           309           7416  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 297:           130           7280  jdk.internal.module.ModuleReferenceImpl (java.base@25.0.4)
 298:           113           7232  java.net.URL (java.base@25.0.4)
 299:           289           6936  sun.reflect.generics.factory.CoreReflectionFactory (java.base@25.0.4)
 300:           426           6816  java.util.HashMap$KeySet (java.base@25.0.4)
